name,description,price,category,image
Butterscotch Mousse Cake,"A Creamy & Chocolaty indulgence with layers of rich, fluffy Butterscotch Cream and delicious Dark Chocolate Cake, topped with crunchy Dark Chocolate morsels - for a perfect dessert treat!",109.0,side orders,https://www.dominos.co.in//files/items/170046_BMC_image_for_Website_272X272.jpg
Creamy Tomato Pasta Pizza - Non Veg,"Loaded with a delicious creamy tomato pasta topping , green capsicum, crunchy red and yellow bell peppers and black olives",509.0,non veg pizzas,https://www.dominos.co.in//files/items/CreamyTomatoPPVG.jpg
5 Pepper,"Dominos introduces ""5 Peppers"" an exotic new Pizza. Topped with red bell pepper, yellow bell pepper, capsicum, red paprika, jalapeno & sprinkled with exotic herb",450.0,veg pizzas,https://www.dominos.co.in//files/items/5_Pepper.jpg
Moroccan Spice Pasta Non Veg,,165.0,pasta,https://www.dominos.co.in//files/items/MoroccanPastaNonVeg_N.jpg
7up (500ml),,60.0,beverages,https://www.dominos.co.in//files/items/7up.png
Achari Do Pyaza,Tangy & spicy achari flavours on a super cheesy onion pizza- as desi as it gets!,335.0,veg pizzas,https://www.dominos.co.in//files/items/updated_achari_do_pyaza.webp
Peppy Paneer,Chunky paneer with crisp capsicum and spicy red pepper - quite a mouthful!,469.0,veg pizzas,https://www.dominos.co.in//files/items/Peppy_Paneer.jpg
Cheese N Corn,Cheese I Golden Corn | Cheese n Corn Pizza,305.0,veg pizzas,https://www.dominos.co.in//files/items/Corn_&_Cheese.jpg
Pepper Barbecue Chicken,Pepper Barbecue Chicken,455.0,pizza mania,https://www.dominos.co.in//files/items/PepperBarbecueChicken.jpg
Cheese Jalapeno Dip,A soft creamy cheese dip spiced with jalapeno.,25.0,side orders,https://www.dominos.co.in//files/items/_thumb_17451.png
Indo Fusion Chicken Pizza,"Relish the fusion of 5 of your favorite chicken toppings - Peri Peri Chicken, Chicken Pepperoni, Chicken Tikka, Pepper Barbecue Chicken and Chicken Meatballs",709.0,chicken lovers pizza,https://www.dominos.co.in//files/items/ind_fus.jpg
Chicken Dominator,"Treat your taste buds with Double Pepper Barbecue Chicken, Peri-Peri Chicken, Chicken Tikka & Grilled Chicken Rashers",609.0,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(11).png
Moroccan Spice Pasta Veg,"Instant Fusilli Pasta, Harissa Sauce, Onion, Mushroom, Olives, Parsley sprinkle",145.0,pasta,https://www.dominos.co.in//files/items/MoroccanPastaVeg_N_(1).jpg
Chicken Sausage,Chicken Sausage & Cheese,375.0,pizza mania,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(17).png
Keema Do Pyaza,Delicious minced chicken keema topped with crunchy onions on your favourite cheesy pizza,455.0,non veg pizzas,https://www.dominos.co.in//files/items/updated_keema_do_pyaza.webp
Onion,Onion,59.0,pizza mania,https://www.dominos.co.in//files/items/onion_veg.jpg
Moroccan Spice Pasta Pizza - Non Veg,"A pizza loaded with a spicy combination of Harissa sauce, Peri Peri chicken chunks and delicious pasta.",509.0,non veg pizzas,https://www.dominos.co.in//files/items/MoroccanSpicePPNV_N.jpg
Roasted Chicken Wings Peri-peri,,175.0,chicken,https://www.dominos.co.in//files/items/Roasted-chicken-192x192.png
Burger Pizza- Premium Veg,,149.0,burger pizza,https://www.dominos.co.in//files/items/160790_Burger_Pizza_427X298_Pixel.jpg
Paneer Makhani,Paneer and Capsicum on Makhani Sauce,559.0,veg pizzas,https://www.dominos.co.in//files/items/Paneer_Makhni.jpg
Burger Pizza- Classic Veg,,125.0,burger pizza,https://www.dominos.co.in//files/items/160790_Burger_Pizza_427X298_Pixel.jpg
Potato Cheese Shots,"Crisp and golden outside,flavorful burst of cheese, potato & spice inside",85.0,side orders,https://www.dominos.co.in//files/items/potato_cheese_shots.png
Corn N Cheese Paratha Pizza,A crazy fusion like never before. A delicious fusion of corn stuffed paratha and cheesy pizza.,179.0,paratha pizza,https://www.dominos.co.in//files/items/cornncheesepp.jpg
Cheese N Tomato,A delectable combination of cheese and juicy tomato,305.0,pizza mania,https://www.dominos.co.in//files/items/cheese_and_tomato.png
Tikka Masala Pasta Non Veg,"Instant Fusilli Pasta, Spicy Red dressing, Onion, Chicken Tikka, Parsley sprinkle",155.0,pasta,https://www.dominos.co.in//files/items/ChickenTikkaMasala_N.jpg
Chicken Pepperoni Stuffed Garlic Bread,"Freshly Baked Garlic Bread stuffed with Delectable Chicken Pepperoni, Cheese and sprinkled with Basil Parsley",175.0,side orders,https://www.dominos.co.in//files/items/BRD0031.webp
Golden Corn,Golden Corn - Sweet Corn Pizza,75.0,pizza mania,https://www.dominos.co.in//files/items/golden_corn_veg.jpg
Garlic Breadsticks,The endearing tang of garlic in breadstics baked to perfection.,95.0,side orders,https://www.dominos.co.in//files/items/garlic-bread.webp
The 5 Chicken Feast Pizza,"Loaded with 5 different Chicken toppings - grilled Chicken Rashers, Chicken Meatballs, Chicken Tikka, herby Chicken Sausage and flavorful Chicken Keema",709.0,chicken lovers pizza,https://www.dominos.co.in//files/items/chicken_feast.jpg
Boneless Chicken Wings Peri-peri,,185.0,chicken,https://www.dominos.co.in//files/items/Boneless-Chicken-wings-192x192.png
Crunchy Strips,Oven baked wheat thin crips with peri peri seasoning with a cheesy dip,75.0,side orders,https://www.dominos.co.in//files/items/crunchy_strips.png
Chicken Meatballs Peri-peri ,,155.0,chicken,https://www.dominos.co.in//files/items/Chicken-Meat-balls-192x192.png
Chicken Maximus,"Loaded to the Max with Chicken Tikka, Chicken Keema, Chicken Sausage and a double dose of grilled Chicken Rashers.",709.0,chicken lovers pizza,https://www.dominos.co.in//files/items/chi_max.jpg
Non Veg Loaded,Peri - Peri chicken | Pepper Barbecue | Chicken Sausage in a fresh pan crust,175.0,pizza mania,https://www.dominos.co.in//files/items/LoadedC.jpg
Chicken Fiesta,Grilled Chicken Rashers I Peri-Peri Chicken I Onion I Capsicum,559.0,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(10).png
Fresh Veggie,Onion & Capsicum,385.0,veg pizzas,https://www.dominos.co.in//files/items/Fresh_Veggie.jpg
Non Veg Supreme,"Bite into supreme delight of Black Olives, Onions, Grilled Mushrooms, Pepper BBQ Chicken, Peri-Peri Chicken, Grilled Chicken Rashers",609.0,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(13).png
Burger Pizza- Classic Non Veg,,165.0,burger pizza,https://www.dominos.co.in//files/items/Burger_Pizza_Non.jpg
New Hand Tossed,"Classic Domino's crust. Fresh, hand stretched.",295.0,choice of crusts,https://www.dominos.co.in//files/items/Crust_272X272.jpg
Mirinda (500ml),,60.0,beverages,https://www.dominos.co.in//files/items/mirinda.png
Deluxe Veggie,"For a vegetarian looking for a BIG treat that goes easy on the spices, this one's got it all.. The onions, the capsicum, those delectable mushrooms - with paneer and golden corn to top it all.",385.0,veg pizzas,https://www.dominos.co.in//files/items/Deluxe_Veggie.jpg
Pepper Barbecue Chicken,Pepper Barbecue Chicken I Cheese,455.0,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(15).png
Paneer Tikka Stuffed Garlic Bread,"Freshly Baked Stuffed Garlic Bread with Cheese, Onion and Paneer Tikka fillings. Comes with a dash of Basil Parsley Sprinkle",175.0,side orders,https://www.dominos.co.in//files/items/BRD0030.webp
Chicken Keema Paratha Pizza,Flavourful & meaty chicken keema paratha and goodness of cheesy pizza coming together in an epic crossover!,255.0,paratha pizza,https://www.dominos.co.in//files/items/chickenkeemaparatha.jpg
Brownie Fantasy,Sweet Temptation! Hot Chocolate Brownie drizzled with chocolate fudge sauce,59.0,side orders,https://www.dominos.co.in//files/items/brownie_fantasy.png
Chicken Golden Delight,Mmm! Barbeque chicken with a topping of golden corn loaded with extra cheese. Worth its weight in gold!,450.0,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(14).png
Mexican Green Wave,"A pizza loaded with crunchy onions, crisp capsicum, juicy tomatoes and jalapeno with a liberal sprinkling of exotic Mexican herbs.",469.0,veg pizzas,https://www.dominos.co.in//files/items/Mexican_Green_Wave.jpg
Lava Cake,Filled with delecious molten chocolate inside.,99.0,side orders,https://www.dominos.co.in//files/items/choco-lava-cake-771.jpg
Chicken Parcel,,55.0,side orders,https://www.dominos.co.in//files/items/150135_Aha_Non_Veg_439x307-01.jpg
Veg Extravaganza,"A pizza that decidedly staggers under an overload of golden corn, exotic black olives, crunchy onions, crisp capsicum, succulent mushrooms, juicyfresh tomatoes and jalapeno - with extra cheese to go all around.",450.0,veg pizzas,https://www.dominos.co.in//files/items/Veg_Extravaganz.jpg
